编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,商家地址,月销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
4230,苏州普特森电器科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱琴海乐器旗舰店"，"点我对话"),爱琴海乐器旗舰店,爱琴海乐器旗舰店,18551222825,,,https://shop157280446.taobao.com/,35243,,,,4.9697分,67.92%,4.97099分,71.19%,4.97034分,69.21%,,,,,,,,,,
4231,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao焦点玩家"，"点我对话"),焦点玩家,印象乐器,,,13263320250,https://shop245094521.taobao.com,2,北京市,,100%,5.0分,100.00%,5.0分,100.00%,4.95455分,47.77%,,,,,,,,,,
4232,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaorenyinsheng3233"，"点我对话"),renyinsheng3233,乐手之家吉他店,17764567858,,,https://shop59348520.taobao.com,159,浙江省杭州市,,,4.96789分,72.04%,4.95872分,56.25%,4.94954分,42.01%,,,,,,,,,,
4233,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao家有贝儿z"，"点我对话"),家有贝儿z,沈阳辰韵琴行,,18640485990,,https://shop58681357.taobao.com,3,,,100%,4.61538分,-5.52%,4.92308分,18.47%,4.46154分,-9.19%,,,,,,,,,,
4234,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao篆人归乡"，"点我对话"),篆人归乡,吉他配件小店,18681550990,,,https://shop100521959.taobao.com,126,广东省深圳市,,98.5%,4.86567分,0.40%,4.85075分,-1.12%,4.85075分,-1.27%,,,,,,,,,,
4235,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吉祥你我他01"，"点我对话"),吉祥你我他01,亮点乐器,,15070559937,,https://shop71899415.taobao.com,0,江西省宜春市,,99.7%,,,,,,,,,,,,,,,,
4236,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao盛轩琴行"，"点我对话"),盛轩琴行,南昌盛轩琴行,,15579122181,,https://shop67891311.taobao.com,0,江西省南昌市,,97.6%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4237,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唯美1518"，"点我对话"),唯美1518,唯美乐器,18316336886,18316336886,,https://shop70299104.taobao.com,0,,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4238,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao薇薇在深圳"，"点我对话"),薇薇在深圳,爱家生活馆familyhome,,13265896569,,https://shop72844169.taobao.com,0,广东省深圳市,,98.2%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4239,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxunbao343"，"点我对话"),xunbao343,天音乐器厂,,15866953718,,https://shop107533773.taobao.com,184,山东省临沂市,,,4.78125分,-2.13%,4.8125分,-1.90%,4.84375分,-1.41%,,,,,,,,,,
4240,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小正太卖琴"，"点我对话"),小正太卖琴,添夏乐器,,18219593791,,https://shop101625947.taobao.com,0,广东省惠州市,,99.4%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4241,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao民乐琴庄88"，"点我对话"),民乐琴庄88,新蕾乐器,13061837119,,,https://shop63798430.taobao.com,6,,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4242,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolmb_01"，"点我对话"),lmb_01,鸣凤乐器直销店,13761300869,13761300869,,https://shop57552265.taobao.com,21,上海市,,,4.85714分,-0.57%,4.82857分,-1.57%,4.97143分,67.17%,,,,,,,,,,
4243,徐州一枝花电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao祺讯乐器旗舰"，"点我对话"),祺讯乐器旗舰,祺讯乐器旗舰,17095633598,13338977887,,https://shop488529815.taobao.com/,8940,江苏 苏州,,,5.0分,100%,4.99257分,92.62%,4.99257分,92.29%,,,,,,,,,,
4244,兰考祥音民族乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao祥音旗舰店"，"点我对话"),祥音旗舰店,祥音旗舰店,15637816173,,,https://shop431258036.taobao.com/,6345,河南 开封,,,4.95571分,52.98%,4.96571分,65.86%,4.96429分,62.86%,,,,,,,,,,
4245,扬州清雅乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao弘艺乐器旗舰店"，"点我对话"),弘艺乐器旗舰店,弘艺乐器旗舰店,,13082568969,,https://shop67697732.taobao.com/,37060,江苏 扬州,,,4.9901分,89.52%,4.9505分,50.85%,4.9802分,79.44%,,,,,,,,,,
4246,东莞市咏乐文化传播有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao咏乐乐器专营店"，"点我对话"),咏乐乐器专营店,咏乐乐器专营店,18148939805,,,https://shop156684006.taobao.com/,144973,,,,4.80959分,1.96%,4.82793分,1.46%,4.81664分,1.78%,,,,,,,,,,
4247,淳安择天网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诺尔乐器旗舰店"，"点我对话"),诺尔乐器旗舰店,诺尔乐器旗舰店,18072088835,,,https://shop178494278.taobao.com/,333,,,,4.68531分,4.49%,4.67832分,4.51%,4.76923分,2.74%,,,,,,,,,,
4248,徐州星海乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星海乐器"，"点我对话"),星海乐器,星海乐器,15852268478,13395283596,15852268478,https://shop57300962.taobao.com/,111473,北京,,,4.888分,0%,4.81333分,1.75%,4.86667分,0.75%,,,,,,,,,,
4249,扬州星音乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星音乐器专营店"，"点我对话"),星音乐器专营店,星音乐器专营店,18605147111,,,https://shop61909844.taobao.com/,28614,江苏 扬州,,,4.90505分,0%,4.93535分,35.81%,4.94343分,41.27%,,,,,,,,,,
4250,阜阳市吉顺电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吉顺乐器专营店"，"点我对话"),吉顺乐器专营店,吉顺乐器专营店,,15888807853,,https://shop166221799.taobao.com/,138228,浙江 杭州,,,4.88419分,0%,4.86936分,0.61%,4.87125分,0.66%,,,,,,,,,,
4251,成都吉吉商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吉吉乐器专营店"，"点我对话"),吉吉乐器专营店,吉吉乐器专营店,15680528282,15680528282,,https://shop63830589.taobao.com/,105063,四川 成都,,,4.94149分,37.89%,4.93477分,35.06%,4.93553分,32.95%,,,,,,,,,,
4252,扬州市琼花民族乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao琼花乐器旗舰店"，"点我对话"),琼花乐器旗舰店,琼花乐器旗舰店,,13291380999,,https://shop108882040.taobao.com/,48467,江苏省 扬州市,,,4.90327分,0%,4.91553分,16.13%,4.93869分,36.35%,,,,,,,,,,
4253,惠州市乐派思文化传播有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乐派思乐器专营店"，"点我对话"),乐派思乐器专营店,乐派思乐器专营店,18998452998,,,https://shop460577827.taobao.com/,81997,,,,4.95243分,49.63%,4.95753分,57.83%,4.94734分,45.33%,,,,,,,,,,
4254,马鞍山酷乐坊乐器商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao酷乐坊乐器专营店"，"点我对话"),酷乐坊乐器专营店,酷乐坊乐器专营店,18955505508,,,https://shop106876844.taobao.com/,63731,上海,,,4.90879分,3.43%,4.90477分,5.44%,4.90929分,5.82%,,,,,,,,,,
4255,义乌市培越贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艺品旗舰店"，"点我对话"),艺品旗舰店,艺品旗舰店,18058932272,,,https://shop453924537.taobao.com/,1621,,,,4.96673分,64.78%,4.97023分,70.44%,4.96848分,67.28%,,,,,,,,,,
4256,杭州拾音文化艺术有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao拾音乐器专营店"，"点我对话"),拾音乐器专营店,拾音乐器专营店,13738097614,15088689981,,https://shop114831724.taobao.com/,41034,浙江省 杭州市,,,4.94196分,38.55%,4.93863分,39.06%,4.94053分,38.26%,,,,,,,,,,
4257,西安畅淼商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao畅淼乐器专营店"，"点我对话"),畅淼乐器专营店,畅淼乐器专营店,13909180881,,,https://shop560460107.taobao.com/,2434,浙江 宁波,,,4.94089分,37.25%,4.93103分,31.34%,4.9064分,2.65%,,,,,,,,,,
4258,揭阳市新诺乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocalao新诺专卖店"，"点我对话"),calao新诺专卖店,calao新诺专卖店,13530597903,,,https://shop490242705.taobao.com/,26406,广东 揭阳,,,4.93746分,33.61%,4.941分,41.26%,4.94395分,41.71%,,,,,,,,,,
4259,徐州麦穗琴仓乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao麦穗琴仓乐器专营店"，"点我对话"),麦穗琴仓乐器专营店,麦穗琴仓乐器专营店,15895215561,,,https://shop184128033.taobao.com/,183073,江苏 徐州,,,4.94286分,39.50%,4.93143分,31.91%,4.94476分,42.65%,,,,,,,,,,
4260,北京佳思德明商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao彩虹人旗舰店"，"点我对话"),彩虹人旗舰店,彩虹人旗舰店,13699105601,,,https://shop514963384.taobao.com/,22194,北京,,,4.93933分,35.59%,4.94607分,46.31%,4.9191分,15.86%,,,,,,,,,,
4261,济南拓源电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星声旗舰店"，"点我对话"),星声旗舰店,星声旗舰店,13222222811,,,https://shop544213218.taobao.com/,21565,,,,4.96682分,64.78%,4.95701分,57.20%,4.96107分,59.51%,,,,,,,,,,
4262,北京声力乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao声力乐器专营店"，"点我对话"),声力乐器专营店,声力乐器专营店,13699276714,,,https://shop544493905.taobao.com/,7318,,,,4.88066分,0.51%,4.89426分,0%,4.87915分,0.50%,,,,,,,,,,
4263,湖北省应城晨越文体办公用品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晨越乐器专营店"，"点我对话"),晨越乐器专营店,晨越乐器专营店,,13995873018,,https://shop107022071.taobao.com/,126325,广东 广州,,,4.93312分,29.00%,4.93417分,34.46%,4.94044分,38.06%,,,,,,,,,,
4264,沧州华秀乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星海华秀专卖店"，"点我对话"),星海华秀专卖店,星海华秀专卖店,,13653170209,,https://shop329897497.taobao.com/,17852,,,,4.92857分,24.17%,4.79286分,2.18%,4.79286分,2.26%,,,,,,,,,,
4265,扬州汉韵乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao汉韵乐器专营店"，"点我对话"),汉韵乐器专营店,汉韵乐器专营店,,13773503600,18052599116,https://shop108415720.taobao.com/,17395,江苏省 扬州市,,,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
4266,东莞市阿牧奇商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阿牧奇乐器专营店"，"点我对话"),阿牧奇乐器专营店,阿牧奇乐器专营店,13649896989,,,https://shop117408163.taobao.com/,12312,广东省 东莞市,,,4.90805分,2.39%,4.88506分,0%,4.90038分,0%,,,,,,,,,,
4267,普宁市沃声乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沃声乐器专营店"，"点我对话"),沃声乐器专营店,沃声乐器专营店,13421119252,,,https://shop118947638.taobao.com/,212242,广东 揭阳,,,4.91141分,5.96%,4.90328分,3.71%,4.89867分,0%,,,,,,,,,,
4268,广州华传文化传播有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao华传乐器专营店"，"点我对话"),华传乐器专营店,华传乐器专营店,18998452998,15018489599,,https://shop127408807.taobao.com/,725673,广东 广州,,,4.91445分,9.18%,4.90437分,4.80%,4.89237分,0%,,,,,,,,,,
4269,济南蓝二十二电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao琴始煌旗舰店"，"点我对话"),琴始煌旗舰店,琴始煌旗舰店,,18861179169,,https://shop145262269.taobao.com/,94850,上海,,,4.90506分,0%,4.88601分,0%,4.88839分,0%,,,,,,,,,,
4270,深圳市和雅乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao和雅乐器专营店"，"点我对话"),和雅乐器专营店,和雅悦器旗舰店,18007555001,,18007555001,https://shop70990335.taobao.com/,215121,广东 深圳,,,4.92899分,24.62%,4.91777分,18.14%,4.92325分,20.18%,,,,,,,,,,
4271,耒阳市尚音商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao耒阳尚音乐器专营店"，"点我对话"),耒阳尚音乐器专营店,耒阳尚音乐器专营店,,18163880535,,https://shop315136203.taobao.com/,135221,湖南 长沙,,,4.78985分,2.36%,4.83968分,1.22%,4.85196分,1.05%,,,,,,,,,,
4272,深圳市飞宏乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao飞宏乐器专营店"，"点我对话"),飞宏乐器专营店,飞宏乐器专营店,13427968101,,,https://shop191429363.taobao.com/,54751,广东 深圳,,,4.96707分,65.13%,4.95858分,58.87%,4.95645分,54.79%,,,,,,,,,,
4273,指环带（深圳）科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao长恨歌乐器旗舰店"，"点我对话"),长恨歌乐器旗舰店,长恨歌乐器旗舰店,,15814782323,,https://shop418286341.taobao.com/,41406,,,,4.88986分,0%,4.87234分,0.55%,4.87171分,0.65%,,,,,,,,,,
4274,上海幻声电子科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao幻声乐器专营店"，"点我对话"),幻声乐器专营店,幻声乐器专营店,13310104466,,,https://shop223933028.taobao.com/,2760,,,,4.91195分,6.78%,4.93082分,31.31%,4.91195分,8.59%,,,,,,,,,,
4275,南京颜喜文化传媒有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao颜喜乐器专营店"，"点我对话"),颜喜乐器专营店,颜喜乐器专营店,13451881128,,,https://shop277220096.taobao.com/,8958,江苏 南京,,,4.83638分,1.42%,4.84045分,1.21%,4.83841分,1.33%,,,,,,,,,,
4276,卫辉市红旗乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoibanez红旗专卖店"，"点我对话"),ibanez红旗专卖店,ibanez红旗专卖店,18037495595,,,https://shop530319965.taobao.com/,5076,,,,4.89736分,0%,4.89736分,0%,4.89736分,0%,,,,,,,,,,
4277,义乌市海川乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaostarway旗舰店"，"点我对话"),starway旗舰店,starway旗舰店,15967970753,,,https://shop500699668.taobao.com/,5433,,,,4.9896分,88.99%,4.98728分,87.37%,4.98438分,83.78%,,,,,,,,,,
4278,北京市钺和成晟商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao钺和成晟乐器专营店"，"点我对话"),钺和成晟乐器专营店,钺和成晟乐器专营店,,13120099701,,https://shop67741694.taobao.com/,69276,北京,,,4.81102分,1.93%,4.84252分,1.16%,4.84252分,1.25%,,,,,,,,,,
4279,扬州天韵琴筝有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao润韵乐器旗舰店"，"点我对话"),润韵乐器旗舰店,润韵乐器旗舰店,18012334212,,,https://shop68110430.taobao.com/,25322,江苏 扬州,,,4.91667分,11.77%,4.95833分,58.62%,4.95833分,56.74%,,,,,,,,,,
4280,淮安市和乐琴行有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao和乐乐器专营店"，"点我对话"),和乐乐器专营店,和乐乐器专营店,15751473655,,,https://shop103380110.taobao.com/,104468,江苏省 淮安市,,,4.97313分,71.48%,4.9659分,66.05%,4.96926分,68.03%,,,,,,,,,,
4281,马鞍山音纳乐器商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao音纳乐器专营店"，"点我对话"),音纳乐器专营店,音纳乐器专营店,15395695592,,,https://shop68412129.taobao.com/,672888,江苏 南京,,,4.91234分,7.19%,4.90942分,10.06%,4.90821分,4.70%,,,,,,,,,,
4282,深圳市音海乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao音海乐器专营"，"点我对话"),音海乐器专营,音海乐器专营,18100659678,18100659678,,https://shop113849328.taobao.com/,86163,广东省 深圳市,,,4.92784分,23.60%,4.90689分,7.55%,4.90363分,0%,,,,,,,,,,
4283,北京清音乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao清音乐器专营店"，"点我对话"),清音乐器专营店,清音乐器专营店,13146314146,,,https://shop71581531.taobao.com/,0,北京,,,4.89983分,0%,4.90501分,5.44%,4.92055分,17.37%,,,,,,,,,,
4284,深圳市武熙贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao武熙乐器专营店"，"点我对话"),武熙乐器专营店,武熙乐器专营店,,13691858145,,https://shop128354756.taobao.com/,69158,广东 东莞,,,4.9081分,2.70%,4.88462分,0%,4.88843分,0%,,,,,,,,,,
4285,深圳市极尚客科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao极尚客乐器专营店"，"点我对话"),极尚客乐器专营店,极尚客乐器专营店,13554998994,,,https://shop109785521.taobao.com/,0,广东 深圳,,,4.97041分,68.59%,4.97239分,72.51%,4.97633分,75.38%,,,,,,,,,,
4286,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoerhurensheng"，"点我对话"),erhurensheng,明泉二胡,15098898926,,,https://shop36296797.taobao.com,2,山东省济南市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4287,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衡乐乐器"，"点我对话"),衡乐乐器,衡乐乐器精品店,,13292272539,,https://shop117159967.taobao.com/,71,河北省衡水市,,,4.96859,72.65%,4.98429,83.35%,4.97382分,69.91%,,,,,,,,,,
4288,扬州颂扬乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao颂扬旗舰店"，"点我对话"),颂扬旗舰店,颂扬旗舰店,15949080801,13952795294,15949080801,https://shop71616385.taobao.com/,19840,江苏 扬州,,,4.97268分,71.07%,4.97268分,72.87%,4.96175分,60.29%,,,,,,,,,,
4289,衡水中寰商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中寰乐器专营店"，"点我对话"),中寰乐器专营店,中寰乐器专营店,15618232061,18903189921,,https://shop325135782.taobao.com/,14990,,,,4.9371分,33.40%,4.92302分,23.56%,4.92863分,25.90%,,,,,,,,,,
4290,杭州芒果乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杭州芒果乐器专营店"，"点我对话"),杭州芒果乐器专营店,杭州芒果乐器专营店,,18705818351,,https://shop195767980.taobao.com/,14887,浙江 杭州,,,4.98539分,84.49%,4.979分,79.09%,4.98447分,83.85%,,,,,,,,,,
4291,东莞市卡马吉他有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaokepma旗舰店"，"点我对话"),kepma旗舰店,kepma旗舰店,,18002907940,,https://shop115736416.taobao.com/,65151,广东省 东莞市,,,4.8746分,0.63%,4.87717分,0%,4.87203分,0.65%,,,,,,,,,,
4292,南京沃森乐器有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沃森乐器专营店"，"点我对话"),沃森乐器专营店,沃森乐器专营店,,18951809538,,https://shop121788460.taobao.com/,186175,江苏省 南京市,,,4.87727分,0.58%,4.87095分,0.58%,4.87644分,0.56%,,,,,,,,,,
4293,广东红棉乐器股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红棉乐器旗舰店"，"点我对话"),红棉乐器旗舰店,红棉乐器旗舰店,18818888909,,,https://shop145959640.taobao.com/,44272,广东省 广州市,,,4.81564分,1.83%,4.79469分,2.14%,4.84916分,1.11%,,,,,,,,,,
4294,扬州合伙人工艺品贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao相约乐器旗舰店"，"点我对话"),相约乐器旗舰店,相约乐器旗舰店,15380342280,13405552290,,https://shop109684649.taobao.com/,2826,江苏省 扬州市,,,4.95238分,49.45%,4.85714分,0.87%,4.90476分,0.95%,,,,,,,,,,
4295,深圳市深梦文化传播有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao深梦乐器专营店"，"点我对话"),深梦乐器专营店,深梦乐器专营店,,18820169331,,https://shop386835185.taobao.com/,181069,广东 深圳,,,4.91268分,7.55%,4.92368分,24.22%,4.93102分,28.38%,,,,,,,,,,
4296,重庆芊蔚电子商务有限责任公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芊蔚乐器专营店"，"点我对话"),芊蔚乐器专营店,芊蔚乐器专营店,15683626242,15683626242,,https://shop145411124.taobao.com/,117264,重庆,,,4.96928分,67.47%,4.95425分,54.57%,4.95229分,50.47%,,,,,,,,,,
4297,上海柔轩实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao敦煌柔轩专卖店"，"点我对话"),敦煌柔轩专卖店,敦煌柔轩专卖店,13764596248,,,https://shop123347335.taobao.com/,116077,上海,,,4.93608分,32.32%,4.92524分,25.77%,4.9377分,35.32%,,,,,,,,,,
4298,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxieyuedong520"，"点我对话"),xieyuedong520,瑪倫乐器,,15986970942,,https://shop113722283.taobao.com,6130,广东省惠州市,,99.9%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4299,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoweijuding"，"点我对话"),weijuding,乐指音吉他直销店,,18665719106,,https://shop102953216.taobao.com,0,广东省广州市,,99.5%,4.81818分,-0.72%,4.81818分,-1.27%,4.72727分,-3.27%,,,,,,,,,,
4300,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoy18948444899"，"点我对话"),y18948444899,JIZHILIN吉他批发,,18948444899,,https://shop110467869.taobao.com,120,广东省揭阳市,,99.5%,4.36842分,-10.60%,4.45865分,-9.13%,4.5188分,-8.04%,,,,,,,,,,
4301,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao安安baby09"，"点我对话"),安安baby09,天津唐朝乐器店,,15522798486,,https://shop114609472.taobao.com,133,天津市,,99.1%,4.90435分,16.72%,4.91739分,12.44%,4.87826分,-0.71%,,,,,,,,,,
4302,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoybw918"，"点我对话"),ybw918,丝语专业葫芦丝,,13187892356,13187892356,https://shop33721842.taobao.com,20,云南省昆明市,,99.6%,4.7分,-3.81%,4.7分,-4.21%,4.8分,-2.32%,,,,,,,,,,
4303,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝色恋曲125099"，"点我对话"),蓝色恋曲125099,d[s122176269],13623887912,13623887912,,https://shop122176269.taobao.com,0,河南省洛阳市,,99.6%,,,,,,,,,,,,,,,,
4304,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowuyijunba"，"点我对话"),wuyijunba,红星智能生活,,15127877855,,https://shop58277246.taobao.com,0,河北省衡水市,,98.4%,4.71429,-4.06%,4.85714,-1.32%,4.71429分,-4.20%,,,,,,,,,,
4305,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohukui68"，"点我对话"),hukui68,宁波市安霸交通科技,,13065677385,,https://shop62368697.taobao.com,0,浙江省宁波市,,97.8%,,,,,,,,,,,,,,,,
4306,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao威盾斯四川总经销"，"点我对话"),威盾斯四川总经销,威盾斯四川总销售,,13308081308,,https://shop117141149.taobao.com,92,四川省成都市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4307,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoshenjian188"，"点我对话"),shenjian188,诚品办公文化用品超市,,13806723566,,https://shop57177022.taobao.com,1,浙江省嘉兴市,,99%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4308,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao库奈安防设备"，"点我对话"),库奈安防设备,库奈安防设备,15557037572,15557037572,,https://shop125495509.taobao.com,0,浙江省宁波市,,99.3%,,,,,,,,,,,,,,,,
4309,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobxg1688"，"点我对话"),bxg1688,鸿泰保险柜销售服务中,,13790294241,,https://shop68842847.taobao.com,0,广东省东莞市,,99.6%,4.5分,-6.88%,4.5分,-7.37%,4.5分,-7.43%,,,,,,,,,,
4310,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogouxg810"，"点我对话"),gouxg810,君安鑫（虎牌）保险柜,,13802708973,,https://shop34034747.taobao.com,0,广东省深圳市,,99%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4311,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoysjxdzc"，"点我对话"),ysjxdzc,安霸电子,,15037942487,,https://shop67975583.taobao.com,317,河南省洛阳市,,99.7%,4.81879分,-1.93%,4.80537分,-2.38%,4.85235分,-1.40%,,,,,,,,,,
4312,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxtg038"，"点我对话"),xtg038,汇丰保险柜商场,,15900662060,,https://shop106443768.taobao.com,0,上海市,,100%,,,,,,,,,,,,,,,,
4313,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao薛万驷"，"点我对话"),薛万驷,威品保险柜,,18310622055,,https://shop60174991.taobao.com,0,北京市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4314,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao平常心0379"，"点我对话"),平常心0379,尊柜保险柜,15837910611,18338818838,15837910611,https://shop68811410.taobao.com,3740,河南省洛阳市,,,4.91111分,36.80%,4.97778分,82.23%,4.97778分,81.56%,,,,,,,,,,
4315,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomeidun商城"，"点我对话"),meidun商城,保险柜科荣品牌,,13424333800,,https://shop103773970.taobao.com,33,广东省深圳市,,99.6%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
4316,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao风山水起千客来"，"点我对话"),风山水起千客来,警林保险柜,,13425475336,,https://shop109688133.taobao.com,0,广东省中山市,,100%,4.66667分,-3.43%,4.66667分,-3.94%,4.66667分,-4.00%,,,,,,,,,,
4317,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolxx201012"，"点我对话"),lxx201012,hy恒益办公家具,13927251552,15024272265,,https://shop103328168.taobao.com,51,广东省佛山市,,99.2%,4.64407分,-5.49%,4.64407分,-5.65%,4.59322分,-6.66%,,,,,,,,,,
